Trans. Date,Post Date,Description,Amount,Category
05/05/2024,05/05/2024,"INTERNET PAYMENT - THANK YOU",-107.59,"Payments and Credits"
05/20/2024,05/20/2024,"KUM&GO 0222R GRINNELL GRINNELL IA02095R",1.59,"Gasoline"
05/20/2024,05/20/2024,"MICROSOFT*STORE MSBILL.INFO WA",16.04,"Merchandise"
05/21/2024,05/21/2024,"INTERNET PAYMENT - THANK YOU",-138.09,"Payments and Credits"
05/21/2024,05/21/2024,"KWIK STAR #1005 LE CLAIRE IA",4.80,"Gasoline"
05/21/2024,05/21/2024,"KWIK STAR #1005 LE CLAIRE IA",7.62,"Gasoline"
05/31/2024,05/31/2024,"INTERNET PAYMENT - THANK YOU",-30.05,"Payments and Credits"
06/05/2024,06/05/2024,"AMAZON.COM*DI4PV1BT3 AMZN.COM/BILLWA5N2JM6APF6T",20.00,"Merchandise"
06/08/2024,06/08/2024,"CASHBACK BONUS REDEMPTION PYMT/STMT CRDT",-12.68,"Awards and Rebate Credits"
06/08/2024,06/08/2024,"INTERNET PAYMENT - THANK YOU",-7.32,"Payments and Credits"
08/11/2024,08/11/2024,"AMERICAS DOG OHARE - KIO CHICAGO ILAPPLE PAY ENDING IN 3625",15.50,"Restaurants"
08/11/2024,08/11/2024,"MCDONALD'S F17277 CHICAGO IL",11.00,"Restaurants"
08/11/2024,08/11/2024,"TST* HOMETOWN HEROES SPO GRINNELL IA",27.30,"Restaurants"
08/13/2024,08/13/2024,"AMAZON MKTPL*RM80C6700 AMZN.COM/BILLWAXCJ5MEPDHPR",17.11,"Merchandise"
08/14/2024,08/14/2024,"INTERNET PAYMENT - THANK YOU",-53.80,"Payments and Credits"
08/14/2024,08/14/2024,"WALMART STORE 00647 GRINNELL IA",66.14,"Merchandise"
08/17/2024,08/17/2024,"INTERNET PAYMENT - THANK YOU",-83.25,"Payments and Credits"
08/17/2024,08/19/2024,"WWW.CVS.COM 800-746-7287 RIAPPLE PAY ENDING IN 3625",34.13,"Merchandise"
08/23/2024,08/23/2024,"SQ *SAINTS REST COFFEE GRINNELL IAAPPLE PAY ENDING IN 36250002305843020446301643",6.19,"Restaurants"
09/02/2024,09/02/2024,"SQ *POSTER INVASION GREENVILLE SCAPPLE PAY ENDING IN 36250002305843020518345489",17.28,"Merchandise"
09/02/2024,09/02/2024,"SQ *POSTER INVASION GREENVILLE SCAPPLE PAY ENDING IN 36250002305843020518400614",25.92,"Merchandise"
09/08/2024,09/08/2024,"INTERNET PAYMENT - THANK YOU",-83.52,"Payments and Credits"
09/13/2024,09/13/2024,"SQ *TOTAL CHOICE SHIPP GRINNELL IA0002305843020587493134",34.00,"Merchandise"
09/15/2024,09/15/2024,"DOMINO'S 1735 NEWTON IAAPPLE PAY ENDING IN 3625",24.11,"Restaurants"
09/15/2024,09/15/2024,"PUNJAB KABAB HOUSE COLFAX IAAPPLE PAY ENDING IN 3625",36.87,"Restaurants"
09/21/2024,09/21/2024,"HV NEWTON STRBUCKS NEWTON IA",6.46,"Restaurants"
09/22/2024,09/22/2024,"CASHBACK BONUS REDEMPTION PYMT/STMT CRDT",-5.00,"Awards and Rebate Credits"
09/22/2024,09/22/2024,"INTERNET PAYMENT - THANK YOU",-89.98,"Payments and Credits"
09/28/2024,09/28/2024,"CLAUDE.AI SUBSCRIPTION 4152360599 CAAPPLE PAY ENDING IN 3511",20.00,"Merchandise"
10/09/2024,10/09/2024,"GREYHOUND LOS ANGELES CAAPPLE PAY ENDING IN 3511",57.94,"Travel/ Entertainment"
10/09/2024,10/09/2024,"GREYHOUND LOS ANGELES CAAPPLE PAY ENDING IN 3511",57.94,"Travel/ Entertainment"
10/09/2024,10/09/2024,"UNITED AIRLINES 18004214655 TXAPPLE PAY ENDING IN 3511",301.95,"Travel/ Entertainment"
10/10/2024,10/10/2024,"UNITED AIRLINES 18004214655 TXAPPLE PAY ENDING IN 3511",155.97,"Travel/ Entertainment"
10/13/2024,10/13/2024,"FRONTIER CAFE GRINNELL IAAPPLE PAY ENDING IN 3625",16.02,"Restaurants"
10/13/2024,10/13/2024,"SNACK EXPRESS PEPSI GRINNELL IAAPPLE PAY ENDING IN 3625",2.35,"Restaurants"
10/17/2024,10/17/2024,"INTERNET PAYMENT - THANK YOU",-618.63,"Payments and Credits"
