,Date,Description,Amount,Category,InGrinnell,IsAmazon
60,2024-06-05,AMAZON.COM*DI4PV1BT3 AMZN.COM/BILLWA5N2JM6APF6T,20.0,Merchandise,False,True
61,2024-08-11,AMERICAS DOG OHARE - KIO CHICAGO ILAPPLE PAY ENDING IN 3625,15.5,Restaurants,False,False
62,2024-08-11,MCDONALD'S F17277 CHICAGO IL,11.0,Restaurants,False,False
63,2024-08-11,TST* HOMETOWN HEROES SPO GRINNELL IA,27.3,Restaurants,True,False
64,2024-08-13,AMAZON MKTPL*RM80C6700 AMZN.COM/BILLWAXCJ5MEPDHPR,17.11,Merchandise,False,True
65,2024-08-14,WALMART STORE 00647 GRINNELL IA,66.14,Merchandise,True,False
66,2024-08-17,WWW.CVS.COM 800-746-7287 RIAPPLE PAY ENDING IN 3625,34.13,Merchandise,False,False
67,2024-08-23,SQ *SAINTS REST COFFEE GRINNELL IAAPPLE PAY ENDING IN 36250002305843020446301643,6.19,Restaurants,True,False
68,2024-09-02,SQ *POSTER INVASION GREENVILLE SCAPPLE PAY ENDING IN 36250002305843020518345489,17.28,Merchandise,False,False
69,2024-09-02,SQ *POSTER INVASION GREENVILLE SCAPPLE PAY ENDING IN 36250002305843020518400614,25.92,Merchandise,False,False
70,2024-09-13,SQ *TOTAL CHOICE SHIPP GRINNELL IA0002305843020587493134,34.0,Merchandise,True,False
71,2024-09-15,DOMINO'S 1735 NEWTON IAAPPLE PAY ENDING IN 3625,24.11,Restaurants,False,False
72,2024-09-15,PUNJAB KABAB HOUSE COLFAX IAAPPLE PAY ENDING IN 3625,36.87,Restaurants,False,False
73,2024-09-21,HV NEWTON STRBUCKS NEWTON IA,6.46,Restaurants,False,False
74,2024-09-28,CLAUDE.AI SUBSCRIPTION 4152360599 CAAPPLE PAY ENDING IN 3511,20.0,Merchandise,False,False
75,2024-10-09,GREYHOUND LOS ANGELES CAAPPLE PAY ENDING IN 3511,57.94,Travel/ Entertainment,False,False
76,2024-10-09,GREYHOUND LOS ANGELES CAAPPLE PAY ENDING IN 3511,57.94,Travel/ Entertainment,False,False
77,2024-10-09,UNITED AIRLINES 18004214655 TXAPPLE PAY ENDING IN 3511,301.95,Travel/ Entertainment,False,False
78,2024-10-10,UNITED AIRLINES 18004214655 TXAPPLE PAY ENDING IN 3511,155.97,Travel/ Entertainment,False,False
79,2024-10-13,FRONTIER CAFE GRINNELL IAAPPLE PAY ENDING IN 3625,16.02,Restaurants,True,False
80,2024-10-13,SNACK EXPRESS PEPSI GRINNELL IAAPPLE PAY ENDING IN 3625,2.35,Restaurants,True,False
